Document,Summary
"412.106.1 English is not an official language of the Swiss Confederation. This translation is provided for information purposes only, has no legal force and may not be relied on in legal proceedings. Ordinance on the Swiss Federal University for Vocational Education and Training(SFUVET Ordinance)of 18 June 2021 (Status as of 1 August 2021)The Swiss Federal Council,on the basis of Article 35 of the SFUVET Act of 25 September 20201,ordains:1 SR 412.106Art. 1 Registered location The Swiss Federal University for Vocational Education and Training (SFUVET) shall be based in Zollikofen.Art. 2 Regional campuses SFUVET shall offer its services through three regional campuses: one in the German-speaking region, one in the French-speaking region and one in the Italian-speaking region of Switzerland.Art. 3 Federal Council's strategic objectives The Federal Department of Economic Affairs, Education and Research (EAER) shall submit SFUVET's strategic objectives drafted by the Federal Council to the following national umbrella organisations for consultation: the Swiss Union of Crafts and Small and Medium-sized Enterprises (SGV), the Swiss Employers' Association (SAV), the Swiss Trade Union Confederation (SGB) and Travail Suisse.Art. 4 SFUVET partnership dynamics with professional organisations and cantonal authorities 1 SFUVET shall involve professional organisations and the cantonal authorities in its strategic planning activities, in the planning of new training courses and services, and in the creation of research areas.2 It may form national and regional advisory boards comprising representatives of professional organisations, cantonal authorities and other interested parties.Art. 5 Repeal and amendment of current legislation 1 The SFIVET Ordinance of 14 September 20052 is repealed.2 ...32 [AS 2005 4607; 2009 5933; 2016 575]3 The amendments may be consulted under AS 2021 405.Art. 6 Transitional provisions Articles 16 and 16a of the SFIVET Ordinance of 14 September 20054 shall remain in force until 31 December 2021.4 AS 2016 575Art. 7 Commencement 1 Subject to paragraph 2, this Ordinance comes into force on 1 August 2021.2 Article 5 paragraph 2 comes into force on 1 January 2022.","The Swiss Federal University for Vocational Education and Training (SFUVET) is based in Zollikofen and has 3 campuses in Switzerland. These campuses are separated by the language spoken in the region, which are German, French, and Italilan. It colabortates with industry groups and regional authorities to plan courses, services, and research. The government sets their goals and consults with national organikzations like trade unions and employers associations. Old rules have been replaced on August 1, 2021, but a few parts will continue to be active until the end of 2021."
"944.021.1 English is not an official language of the Swiss Confederation. This translation is provided for information purposes only and has no legal force.EAER Ordinance on the Declaration for Timber and Timber Productsof 7 June 2010 (Status as of 1 January 2017)The Federal Department of Economic Affairs Education and Research (EAER1),based on Articles 1 paragraph 2 and 2 paragraph 2 the Ordinance of 4 June 20102 on the Declaration for Timber and Timber Products,ordains:1 The name of this administrative unit was amended in application of Art. 16 para. 3 of the Publications Ordinance of 17 Nov. 2004 (AS 2004 4937) on 1 Jan. 2013. The amendment has been made throughout the text.2 SR 944.021Art. 1 Timber and timber products subject to declaration The duty to declare applies to timber and timber products specified in the Annex.Art. 2 Reference system for the declaration of timber species The reference system for the declaration of the timber species comprises:a.the commercial timber list of the Swiss Timber Trade Centre3; andb.Standard SN EN 13556:20034.3 The list may be inspected under: www.konsum.admin.ch.4 The text of this standard may be obtained from the Swiss Information Centre for Technical Rules (switec), Bürglistrasse 29, 8400 Winterthur; www.snv.chArt. 3 Commencement This Ordinance comes into force on 1 October 2010.Annex5 5 Revised in accordance with No I of the EAER Ordinance of 2 Dec. 2011 (AS 2011 6267) and of 18 Oct. 2016, in force since 1 Jan. 2017 (AS 2016 3853).(Art. 1)Timber and Timber Products subject to Declaration Customs Tariff NumberProduct designation4401 without 4401.3100 4401.3900 and 4401.4000Fuel wood, in logs, in billets, in twigs, or in similar forms; wood in chips or particles4402Wood charcoal (including shell or nut charcoal), whether or not agglomerated4403Wood in the rough, whether or not stripped of bark or sapwood, or roughly cut at two or four sides4404Hoopwood, split poles, piles, pickets and stakes of wood, pointed but not sawn lengthwise, wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking sticks, umbrellas, tool handles and the like, chipwood, woodstrips, woodbands and the like4406Railway or tramway sleepers of wood, and the like4407Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or endjointed, of a thickness exceeding 6mm. 4409Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded or the like) along any of its edges, ends or faces, whether or not planed, sanded or endjointed4414Wooden frames for paintings, photographs , mirrors or similar objects, made of solid wood4416Casks, barrels, vats, tubs and other coopers’ products and parts thereof, made of solid wood4418.5000Shingles and shakes4418.6000Posts and beams made of solid wood9401.6900Seats with main components made of solid wood9403.3000 9403.4000 9403.5000 9403.6000Other furniture with main components made of solid wood","The EAER Ordinance on the Declaration for Timber and Timber Products (2010) requires that specific timber and timber products, listed in the annex, must include a declaration of their type and origin. The declaration follows a reference system based on the commercial timber list and technical standards (SN EN 13556:2003). These standards ensure proper classification and traceability. Products affected include fuel wood, wood charcoal, rough wood, railway sleepers, sawn wood, and solid wood furniture. The ordinance came into force on October 1, 2010, with updates effective as of January 1, 2017."
"Title and commencement 1 This order may be cited as the North West Water Authority (Solway Firth) Trout Close Season Order 1985 and shall come into force on 10th February 1987 unless a memorial is presented to the Minister in accordance with paragraph 9 of Schedule 3 to the Act praying that this order shall be subject to special parliamentary procedure . Modification of minimum close season for fishing for trout 2 In relation to such part of the Solway Firth as lies within the area of the North West Water Authority, paragraph 3 of Schedule 1 to the Salmon and Freshwater Fisheries Act 1975 (which specifies minimum close seasons and close times) shall have effect as if the minimum duration of the trout close season specified in item 5 of that paragraph were 168 days instead of 181 days. In Witness whereof the Official Seal of the Minister of Agriculture, Fisheries and Food is hereunto affixed on 19th August 1985. J. C. Edwards Assistant Secretary, on behalf of the Minister of Agriculture, Fisheries and Food Confirmed by the Minister of Agriculture, Fisheries and Food. J. C. Edwards Assistant Secretary, on behalf of the Minister of Agriculture, Fisheries and Food","The North West Water Authority (Solway Firth) Trout Close Season Order 1985 reduces the trout fishing close season in the Solway Firth area to 168 days (from 181 days). It takes effect on February 10, 1987, unless formally challenged through a special parliamentary process."
"Citation and commencement 1 This order may be cited as the Trafford Park Development Corporation (Area and Constitution) Order 1986 and shall come into force on the day after the day on which it is approved by resolution of each House of Parliament. Interpretation 2 In this order, “the map” means the map entitled “Map referred to in the Trafford Park Development Corporation (Area and Constitution) Order 1986”, of which prints signed by an Under Secretary in the Department of the Environment, are deposited and available for inspection at the offices of the Secretary of State for the Environment and the offices of the councils of the city of Salford and the borough of Trafford. Designation of urban development area 3 The area comprising the two areas shown on the map bounded externally by a black line edged internally with a stippled band is hereby designated as an urban development area. Establishment of the Trafford Park Development Corporation 4 For the purposes of regenerating the designated area there is hereby established an urban development corporation named “The Trafford Park Development Corporation” with eleven members in addition to the chairman and deputy chairman. Nicholas Ridley Secretary of State for the Environment 8th December 1986","The Trafford Park Development Corporation (Area and Constitution) Order 1986 creates an urban development area in Trafford and Salford, as shown on an official map. It establishes the Trafford Park Development Corporation, consisting of a chairman, deputy chairman, and 11 members, to manage the area’s regeneration. The order takes effect once approved by both Houses of Parliament."
"Title, commencement and interpretation 1 1 This Order may be cited as the North West Water Authority (Returns of Eels Taken) Order 1986 and shall come into force on 25th April 1987 unless a memorial is presented to the Minister of Agriculture, Fisheries and Food in accordance with paragraph 9 of Schedule 3 to the Act praying that this Order shall be subject to special parliamentary procedure . 2 In this Order “the Act” means the Salmon and Freshwater Fisheries Act 1975. Modification of requirement to send returns 2 In relation to any fisheries within the area of the North West Water Authority, section 28(6) of, and paragraph 32 of Schedule 3 to, the Act (which, among other things, enable water authorities to make byelaws requiring persons fishing for freshwater fish to send returns of any such fish which they have taken or a statement that they have taken no such fish) shall have effect as if the reference in that paragraph to persons fishing for freshwater fish included a reference to persons fishing for eels otherwise than with rod and line. In Witness whereof the Official Seal of the Minister of Agriculture, Fisheries and Food is here unto affixed on 17th October 1986. J. C. Edwards Assistant Secretary, on behalf of the Minister of Agriculture, Fisheries and Food Confirmed by the Minister of Agriculture, Fisheries and Food. J. C. Edwards Assistant Secretary, on behalf of the Minister of Agriculture, Fisheries and Food 14th April, 1987","The North West Water Authority (Returns of Eels Taken) Order 1986 requires people fishing for eels without a rod and line in the authority’s area to report their catches or confirm if no fish were caught. This updates existing rules under the Salmon and Freshwater Fisheries Act 1975. The order comes into force on April 25, 1987, unless formally challenged."
"This Order may be cited as the Data Protection (Miscellaneous Subject Access Exemptions) Order 1987 and shall come into force on 11th November 1987. In this Order “the subject access provisions” has the meaning which it has for the purposes of Part IV of the Data Protection Act 1984 . There shall be exempted from the subject access provisions any personal data consisting of information the disclosure of which is prohibited or restricted by the enactments and instruments listed in the Schedule to this Order, being enactments and instruments which impose prohibitions or restrictions on disclosure which ought to prevail over those provisions in the interests of data subjects or of other individuals. Douglas Hurd One of Her Majesty’s Principal Secretaries of State Home Office 9th November 1987","The Data Protection (Miscellaneous Subject Access Exemptions) Order 1987 exempts certain personal data from the right of access under Part IV of the Data Protection Act 1984. This applies to data where disclosure is restricted or prohibited by specific laws listed in the schedule to the order. These restrictions are intended to protect the interests of individuals or others. The order comes into effect on November 11, 1987."
"These Regulations may be cited as the Merchant Shipping (Light Dues) (Amendment) Regulations 1987 and shall come into force on 1st April 1987. 2 The Merchant Shipping (Light Dues) (Amendment) Regulations 1986 are hereby revoked. 3 The Schedule to the Merchant Shipping (Light Dues) Regulations 1981 shall be amended as follows: — a For the scale of payments relating to the levying of light dues set out in Part I thereof there shall be substituted the following scale: — SCALE OF PAYMENTS 1 Home-trade sailing ships: 86.5p per 10 tons per voyage. 2 Foreign-going sailing ships: £1.73 per 10 tons per voyage. 3 Home-trade steamers: Full rate: £1.73 per 10 tons per voyage. Reduced rate (visiting cruise ships): 86.5p per 10 tons per voyage. 4 Foreign-going steamers: Full rate: £3.46 per 10 tons per voyage. Reduced rate (visiting cruise ships): £1.73 per 10 tons per voyage. 5 In the place of payments per voyage, the following payments: — a for pleasure yachts which the general lighthouse authority is satisfied are ordinarily kept or used outside any of the following countries and territories (including the territorial waters thereof), namely the United Kingdom, Isle of Man, Republic of Ireland, a payment in respect of any visit of 86.5p per 10 tons for every period of 30 days or less comprised in such visit; b for tugs and pleasure yachts not included in sub-paragraph (a) of this paragraph an annual payment of £10.38 per 10 tons. b In Part II thereof: — i in the proviso to Rule (1), for “£21.28” and “£10.64” there shall be substituted respectively “£24.22” and “£12.11”; ii in Rule (7), for “76p” there shall be substituted “86.5p”. Signed by authority of the Secretary of State Michael Spicer Parliamentary Under-Secretary of State, Department of Transport 23rd February 1987","The Merchant Shipping (Light Dues) (Amendment) Regulations 1987 update the fees for light dues (charges for lighthouse and navigation aid maintenance). The new rates include specific charges for home-trade and foreign-going ships, visiting cruise ships, tugs, and pleasure yachts. For example, foreign-going steamers pay 3.46 per 10 tons per voyage, and tugs pay an annual fee of 10.38 per 10 tons. These changes revoke the 1986 regulations and take effect on April 1, 1987."
"This Order may be cited as the District of Preseli (Electoral Arrangements) Order 1987. 2 This Order shall come into force on 7th May 1987, except that for the purpose of all proceedings preliminary or relating to an election to be held on or after that day it shall come into force forthwith. 3 1 The existing wards of the District of Preseli shall be abolished and that district shall be divided into thirty-two wards which shall bear the names set out in column 1 of the Schedule to this Order, and each such ward shall comprise the areas specified in column 2 of that Schedule opposite to the name of the ward as given in column 1, which areas are: — a in the case of a ward of a community, the areas demarcated by green lines on the boundary map referred to in the Preseli (Communities) Order 1987 and designated on that map by reference to the names of the wards of the communities as set out in column 2 of Schedule 2 to that Order, and b in the case of a community, the areas demarcated by red lines on the boundary map referred to in the Preseli (Communities) Order 1987 and designated on that map by reference to the names of the communities as set out in paragraphs (1), (2) and (4) of Article 6 of that Order. 2 The number of councillors to be elected for each such ward shall be the number specified in column 3 of the Schedule to this Order opposite to the name of the ward as given in column 1 of that Schedule. 4 The ordinary elections of all councillors for the District of Preseli shall be held simultaneously on the ordinary day of election of non-metropolitan district councillors in 1987 and every fourth year thereafter. 5 The registration officer shall make such re-arrangement or alteration of the register of local government electors as may be necessary on account of the coming into force of this Order. Douglas Hurd One of Her Majesty’s Principal Secretaries of State Home Office 26th February 1987 Summary: The District of Preseli (Electoral Arrangements) Order 1987 reorganizes the electoral wards in the District of Preseli. It comes into effect on May 7, 1987, but preparations for elections can start immediately. The existing wards are abolished and replaced with 32 new wards, each covering specific areas listed in the Schedule of the Order. Each ward will have a set number of councillors, also specified in the Schedule. Elections for all district councillors will happen on the same day as other non-metropolitan district council elections in 1987 and every four years after that. The registration officer is responsible for updating the local government electoral register to match the new arrangements. The Order was approved by Douglas Hurd, Secretary of State, on February 26, 1987.","The District of Preseli (Electoral Arrangements) Order 1987 reorganizes the electoral wards in the District of Preseli. It comes into effect on May 7, 1987, but preparations for elections can start immediately. The existing wards are abolished and replaced with 32 new wards, each covering specific areas listed in the Schedule of the Order. Each ward will have a set number of councillors, also specified in the Schedule. Elections for all district councillors will happen on the same day as other non-metropolitan district council elections in 1987 and every four years after that. The registration officer is responsible for updating the local government electoral register to match the new arrangements. The Order was approved by Douglas Hurd, Secretary of State, on February 26, 1987."
"This Order may be cited as the Territorial Sea (Limits) Order 1987 and shall come into force on 1st October 1987. 2 The seaward limit of the territorial sea adjacent to the United Kingdom between Point 1 and Point 6 indicated in the Schedule to this Order shall consist of a series of straight lines joining, in the sequence given, Points 1 to 6 indicated in the Schedule to this Order. 3 The seaward limit of the territorial sea adjacent to the United Kingdom shall be the median line where the baselines from which the breadth of the territorial sea adjacent to the United Kingdom is measured are less than 24 nautical miles from the baselines from which the breadth of the territorial sea adjacent to the Isle of Man is measured. 4 In this Order: — a “straight line” means a loxodromic line; b all positions given by means of co-ordinates are defined on European Datum (1st Adjustment 1950); c “median line” is a line every point of which is equidistant from the nearest points of the baselines from which the breadth of the territorial sea adjacent to the United Kingdom and the Isle of Man respectively is measured. G. I. de Deney Clerk of the Privy Council","The Territorial Sea (Limits) Order 1987 defines the boundaries of the UK's territorial sea. It establishes the seaward limits as straight lines between specific points (listed in the schedule) and uses a median line for areas where the UK and Isle of Man’s seas are less than 24 nautical miles apart. It takes effect on October 1, 1987."
"1 These Regulations may be cited as the Origin of Goods (Petroleum Products) Regulations 1987 and shall come into force on 1st January 1988. 2 In these Regulations references to chapters, headings or sub-headings are references to chapters, headings or sub-headings of the Combined Nomenclature of the European Communities . 2 These Regulations shall apply to determine the question whether goods of a description specified in the Schedule hereto are to be treated as originating in a country for the purposes of any preferential rate of, or exemption from, customs duties charged in accordance with section 5(1) and (2) of the European Communities Act 1972 , in cases where the question does not fall to be determined under a regulation of the European Economic Community or any Act or other instrument having the force of law. 3 1 Any description of goods in column 2 of the Schedule hereto (other than one covering a whole heading) shall be taken to comprise all goods which would be classified under an entry in the same terms constituting a sub-heading; 2 Materials shall be treated as having been imported into a country unless they are shown to the satisfaction of the Commissioners of Customs & Excise not to have been so imported. 3 Notwithstanding the provisions of regulations 4 and 5, goods of a description specified in the Schedule hereto shall not be treated as originating in a country unless — a they were consigned to the United Kingdom from that country or from another member state of the European Economic Community or, b if not so consigned, they remained under customs control in any country (other than one described in paragraph (a) above) through which they were moved, were not entered for home use there and were not subject to any operation there other than unloading, reloading or any operation intended to keep them in good condition. 4 1 Subject to the provisions of regulation 3(3) above, goods of a description specified in the Schedule hereto which have been wholly got, produced or manufactured in a country without the use of any imported materials shall be treated as originating in that country. 2 For the purpose of paragraph (1) above, waste products shall be treated as wholly produced in a country if they result from the carrying on of any process of manufacture in that country. 5 Subject to the provisions of regulation 3(3) above, goods of a description specified in the Schedule hereto, and produced or manufactured in a country from imported materials, shall be treated as originating in that country provided they have undergone there the process specified in column 3 of the Schedule, unless such goods fall to be classified in a different heading from the materials from which they were produced or manufactured by reason only of the performance of one or more of the following minor processes, namely — i operations intended solely to ensure that the goods remain in good condition during transit or storage (including freezing); ii packing, repacking, bottling or splitting up into or assembling into consignments; iii marking or labelling; iv mixing — where any of the components mixed is an imported product. 6 The Origin of Goods (Petroleum Products) Regulations 1977 are hereby revoked, so far as still in force . Alan Clark Minister for Trade, Department of Trade & Industry 4th December 1987","The Origin of Goods (Petroleum Products) Regulations 1987, which take effect on January 1, 1988, establish rules for determining the origin of petroleum products for customs duty purposes under the European Communities Act 1972. The regulations apply to products listed in the schedule, using the Combined Nomenclature of the European Communities for classification. Goods are considered to originate from a country if they are wholly produced there without imported materials or result from manufacturing processes. For products made using imported materials, they must undergo significant processing as specified in the schedule to qualify as originating from that country. Additionally, goods transported through non-originating countries must remain under customs control, not enter home use, and undergo only minimal operations such as unloading or storage to maintain their origin status. Minor processes, such as packing, labeling, or mixing imported components, do not qualify as sufficient manufacturing to alter the origin classification. These regulations update and replace the 1977 Origin of Goods (Petroleum Products) Regulations and aim to standardize customs procedures for petroleum products across the European Community. The rules were signed by Alan Clark, Minister for Trade, on December 4, 1987."
